Summary,Issue Type,Priority,Description,Epic Link,Story Points,Labels,Component,Assignee,Reporter,Sprint,Status,Original Estimate
[US] Commentaires Inline dans le Code,Story,High,"En tant qu'étudiant, je veux voir des commentaires inline dans mon code afin de comprendre mes erreurs en contexte.

Critères d'acceptation:
- Annotations directement dans le code
- Explications pédagogiques claires
- Code suggestions avec diff
- Sévérité (erreur, warning, info)
- Liens vers documentation Python",[EPIC] Feedback Pédagogique,5,"user-story,annotations,inline",Frontend,,,,To Do,8h
[US] Comparaison de Solutions,Story,Medium,"En tant qu'étudiant, je veux comparer ma solution avec une solution optimale afin d'apprendre les meilleures pratiques.

Critères d'acceptation:
- Affichage côte à côte de ma solution et solution de référence
- Highlighting des différences
- Explications des choix de la solution optimale
- Comparaison de performance
- Niveau de difficulté adaptatif",[EPIC] Feedback Pédagogique,5,"user-story,comparison,learning",Frontend,,,,To Do,8h
[US] Setup CI/CD Pipeline,Story,High,"En tant que DevOps, je veux mettre en place un pipeline CI/CD afin d'automatiser les déploiements.

Critères d'acceptation:
- Pipeline GitLab CI ou GitHub Actions
- Build automatique sur push
- Tests automatiques (unit, integration)
- Déploiement automatique en staging
- Déploiement manuel en production
- Notifications Slack/Teams",[EPIC] Infrastructure et DevOps,5,"user-story,cicd,automation",DevOps,,,,To Do,8h
[US] Conteneurisation Docker,Story,High,"En tant que DevOps, je veux conteneuriser l'application afin de garantir la portabilité.

Critères d'acceptation:
- Dockerfile pour backend Python
- Dockerfile pour frontend
- Docker Compose pour développement local
- Images optimisées (multi-stage build)
- Documentation de déploiement
- Registry Docker (Docker Hub ou privé)",[EPIC] Infrastructure et DevOps,5,"user-story,docker,containers",DevOps,,,,To Do,8h
[US] Monitoring et Alertes,Story,High,"En tant que DevOps, je veux monitorer l'application afin de détecter rapidement les problèmes.

Critères d'acceptation:
- Prometheus pour métriques
- Grafana pour dashboards
- Alerting configuré (Slack, email)
- Métriques: CPU, RAM, requests/s, latency
- Logs centralisés (ELK ou Loki)
- Uptime monitoring",[EPIC] Infrastructure et DevOps,8,"user-story,monitoring,observability",DevOps,,,,To Do,13h
[US] Base de Données PostgreSQL,Story,High,"En tant que développeur, je veux utiliser PostgreSQL afin de stocker les données de manière fiable.

Critères d'acceptation:
- PostgreSQL déployé
- Schéma de base de données défini
- Migrations avec Alembic/Flyway
- Backups automatiques quotidiens
- Réplication master-slave
- Connection pooling",[EPIC] Infrastructure et DevOps,5,"user-story,database,postgresql",Backend,,,,To Do,8h
[US] Cache Redis,Story,Medium,"En tant que développeur, je veux utiliser Redis pour le caching afin d'améliorer les performances.

Critères d'acceptation:
- Redis déployé et configuré
- Cache des résultats d'analyse
- Cache des statistiques
- TTL configurable
- Invalidation de cache
- Monitoring du hit rate",[EPIC] Infrastructure et DevOps,3,"user-story,redis,cache",Backend,,,,To Do,5h
[US] API REST Documentation,Story,Medium,"En tant que développeur, je veux une documentation API interactive afin de faciliter l'intégration.

Critères d'acceptation:
- Swagger/OpenAPI 3.0
- Documentation générée automatiquement
- Exemples de requêtes/réponses
- Try it out fonctionnel
- Authentification documentée
- Versionning de l'API",[EPIC] Infrastructure et DevOps,3,"user-story,api,documentation",Backend,,,,To Do,5h
[US] Authentification JWT,Story,High,"En tant qu'utilisateur, je veux m'authentifier de manière sécurisée afin de protéger mes données.

Critères d'acceptation:
- Authentification par JWT
- Login avec email/mot de passe
- Tokens avec expiration
- Refresh tokens
- Logout sécurisé
- Rate limiting sur login",[EPIC] Infrastructure et DevOps,5,"user-story,auth,security",Backend,,,,To Do,8h
[US] Tests End-to-End,Story,Medium,"En tant que QA, je veux des tests E2E automatisés afin de garantir la qualité de l'application.

Critères d'acceptation:
- Tests avec Selenium ou Cypress
- Scénarios principaux couverts
- Exécution dans le CI
- Screenshots sur échec
- Rapports HTML
- Tests sur différents navigateurs",[EPIC] Infrastructure et DevOps,8,"user-story,testing,e2e",QA,,,,To Do,13h
[US] Gestion des Erreurs Globale,Story,Medium,"En tant que développeur, je veux une gestion centralisée des erreurs afin d'améliorer le debugging.

Critères d'acceptation:
- Sentry ou equivalent configuré
- Capture automatique des exceptions
- Stack traces complètes
- Contexte utilisateur capturé
- Alertes sur erreurs critiques
- Dashboard des erreurs",[EPIC] Infrastructure et DevOps,3,"user-story,error-handling,monitoring",Backend,,,,To Do,5h
[US] Internationalisation (i18n),Story,Low,"En tant qu'utilisateur, je veux utiliser l'application dans ma langue afin d'améliorer l'expérience.

Critères d'acceptation:
- Support Français et Anglais
- Fichiers de traduction JSON/PO
- Détection automatique de la langue
- Sélecteur de langue
- Traduction de tous les messages
- Date/heure localisées",[EPIC] Infrastructure et DevOps,5,"user-story,i18n,localization",Frontend,,,,To Do,8h
[BUG] Parser crashe sur fichiers UTF-16,Bug,High,"Environnement:
- OS: Windows 10
- Python: 3.11
- Version: 1.0.0

Comportement attendu:
Le parser devrait gérer tous les encodages courants y compris UTF-16.

Comportement observé:
Le parser crashe avec une UnicodeDecodeError sur les fichiers UTF-16.

Étapes pour reproduire:
1. Créer un fichier .py en UTF-16
2. Soumettre le fichier pour analyse
3. Observer le crash

Logs:
UnicodeDecodeError: 'utf-8' codec can't decode byte 0xff in position 0

Impact: Bloquant pour certains utilisateurs Windows

Workaround: Convertir manuellement le fichier en UTF-8",,3,"bug,parser,encoding",Backend,,,,To Do,5h
[BUG] Faux positifs sur variables de compréhensions,Bug,Medium,"Environnement:
- Python: 3.10
- Module: Variable analyzer

Comportement attendu:
Les variables de compréhension ne devraient pas être signalées comme non définies.

Comportement observé:
Le système signale les variables de compréhension comme non définies.

Exemple:
squares = [x**2 for x in range(10)]
# x est signalé comme non défini

Impact: Majeur - Génère de la confusion

User Story liée: [US] Identifier les Variables Non Définies",,2,"bug,false-positive,comprehension",Backend,,,,To Do,3h
[BUG] Dashboard ne charge pas avec 1000+ soumissions,Bug,High,"Environnement:
- Navigateur: Chrome 120
- OS: Windows/Mac
- Version: 1.0.0

Comportement attendu:
Le dashboard devrait charger même avec beaucoup de données.

Comportement observé:
Le dashboard freeze et crash du navigateur avec 1000+ soumissions.

Étapes pour reproduire:
1. Avoir un compte avec 1000+ soumissions
2. Accéder au dashboard
3. Observer le freeze

Impact: Bloquant pour utilisateurs actifs

Solution proposée: Pagination et lazy loading",,5,"bug,performance,frontend",Frontend,,,,To Do,8h
[BUG] Score de qualité négatif dans certains cas,Bug,High,"Environnement:
- Python: 3.11
- Module: Quality scorer

Comportement attendu:
Le score devrait toujours être entre 0 et 100.

Comportement observé:
Le score peut devenir négatif quand il y a beaucoup d'erreurs.

Exemple:
Code avec 50 erreurs -> Score: -23

Impact: Bloquant - Calcul incorrect

User Story liée: [US] Générer un Score de Qualité

Fix: Ajouter max(0, score) dans le calcul",,1,"bug,scoring,calculation",Backend,,,,To Do,2h
[BUG] Notifications email envoyées en double,Bug,Low,"Environnement:
- Service: Email sender
- Queue: RabbitMQ

Comportement attendu:
Une seule notification par soumission.

Comportement observé:
Certains utilisateurs reçoivent 2 emails pour la même soumission.

Étapes pour reproduire:
1. Soumettre un fichier
2. Vérifier les emails
3. Observer parfois 2 emails identiques

Impact: Mineur - Gênant mais pas bloquant

Fréquence: ~5% des cas

Workaround: Désactiver les notifications",,2,"bug,email,duplication",Backend,,,,To Do,3h
